순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
54,만화,체인소 맨 11,290886723,9791134889708,,후지모토 타츠키 지음,학산문화사(만화),20220322,6000,5400,300점,18476,만화,"책소개
악마 포치타와 함께 빚쟁이 데빌 헌터로 고용되어 혹사당하는 극빈곤 소년 덴지. 시궁창 인생은 잔인한 배신을 계기로 급변한다!! 악마가 깃든 몸으로 악마를 사냥하는 신세대 다크 히어로 액션, 개막! CHAINSAW MAN ⓒ 2018 by Tatsuki Fujimoto/SHUEISHA Inc.",
55,만화,히카루가 죽은 여름 7,373273268,9791127884536,7830,"모쿠모쿠렌 지음, 송재희 옮김",디앤씨미디어(주)(D&C미디어),20251020,6500,5850,320점,18660,만화,"책소개
어떤 마을에서 함께 자란 소년,
요시키와 히카루.

「무언가」가 히카루의 자리를 차지한 뒤로,
각지에 부정함이 늘어나기 시작했다.
부정함이 만연하는 것을 막기 위해
요시키는 저세상과 이어진 여러 「구멍」을 닫고자 움직인다.
반대편에서만 닫을 수 있는 「구멍」.
히카루는 「무언가」로부터 눈을 돌리지 않았던 요시키와의 「연결」을 이용해
자신이 「구멍」을 닫고 돌아오겠다고 제안한다.
한편, 아사코와 타나카는 「구멍」을 닫아 달라고 하기 위해
부정함과 교섭에 임하는데─.

권말에는 아사코가 타나카에게 「쥐」에 관해 묻는
특별 단편도 수록.","목차
제32화
제33화
제34화
제35화
제36화
특별편"
56,만화,체인소 맨 10,296415507,9791134837822,,후지모토 타츠키 지음,학산문화사(만화),20220114,6000,5400,300점,17476,만화,,
57,만화,체인소 맨 5,300410758,9791169279178,,후지모토 타츠키 지음,학산문화사(만화),20210312,6000,5400,300점,17574,만화,"책소개
이전에 히메노가 사역했던 악마와 대치하는 아키. 복수심에 불타는 남자의 뇌리를 스치는 건…?! 한편, 덴지는 다시금 사무라이 소드와 격돌!! 체인소 VS. 칼, 피튀기는 사투의 행방은 과연?! 덴지의 심장 쟁탈전은 예상치 못한 방향으로 가속한다!!",
58,만화,봇치·더·록! 외전 히로이 키쿠리의 과음일기 3,375048320,9791142333682,7830,"하마지 아키, 쿠미쵸 지음",대원씨아이(만화),20251031,9000,8100,450점,12980,만화,"책소개
히로이 키쿠리(25세)
과거엔 아싸.
지금은 알코올 환자!!

술과 음악이 있으면 인생이 즐겁다!
새해엔 시마의 본가에서 마시고,
어느 날은 대음양주 키라라를 마시고, 또 어느 날은 대자연 속에서 마시고……………
그러다, 술이 빠진다면―?!
대반향의 3권!!",
59,만화,체인소 맨 7,299851648,9791169278577,,후지모토 타츠키 지음,학산문화사(만화),20210715,6000,5400,300점,16675,만화,,
60,만화,악마에 입문했습니다! 이루마 군 43,376265538,9791142813689,47830,"니시 오사무 지음, 이승원 옮김",서울미디어코믹스(서울문화사),20251107,6500,5850,320점,5300,만화,"책소개
사랑을 가슴에 품고 가둬둔 채, 놔주지 않는다!
악주기 클라라 편, 개막!!

아스모데우스가 가지고 있던 약을 과자인 줄 알고 먹고 만 클라라.
그 바람에 악주기가 되고 마는데?!
이루마 군단 셋의 유대가 시험받는다!",
61,만화,체인소 맨 8,297903127,9791169273848,,후지모토 타츠키 지음,학산문화사(만화),20210909,6000,5400,300점,16367,만화,,
62,만화,주술회전 OUR BLUE PACK (블루팩),374965913,9791142813016,44830,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),20251023,12000,10800,600점,14965,만화,"책소개
극장판 주술회전 회옥·옥절 개봉 기념, 8~9권 합본판인
OUR BLUE PACK 발행!!

최강의 두 사람, 더는 돌아갈 수 없는 푸른 봄――.
[극장판 주술회전: 회옥·옥절] 개봉 기념, 8-9권 합본판 발행!

8, 9권 초판 특전 복각에 더해 10권 더블 특전이었던 미니 아크릴 카드, 오직 합본 패키지에서만 만날 수 있는 캐릭터 스탠딩POP 4종까지 풍성하게 구성했다.

※ 구성
- 『주술회전』 8권, 9권 단행본(신규 띠지 부착)
- 초판 특전인 양면 일러스트 카드 2종,
- 미니 아크릴 카드 1종
- 캐릭터 스탠딩POP 4종",
63,만화,별정직 공무원 2 (특별판),376758208,9791141176846,4650,"권소라.서재원 지음, ch 그림",학산문화사(만화),20251120,40000,36000,"2,000점",12540,만화,"책소개
별정직 공무원을 그만두기로 결심한 한마루.
그러나 엄마를 구하기 위해 다시 나찰과 맞선다!

폭식의 힘으로 강화도 팀에서 활약하던 중,
서울 본부 정일두 국장에게 스카우트 제안을 받는다.

서울에서의 새출발을 상상하던 그 순간!
갑자기 울린 나찰 경보에 출동한 마루는 7단계급 나찰이 있는 집에 갇히고 마는데?!

※ 특별판 구성
『별정직 공무원 2』 단행본 + 아크릴 스탠드 + PP 스탠드 2종 + 미니 포스터 2종 + PP카드","목차
10화 007
11화 031
12화 057
13화 089
14화 115
15화 141
16화 175
17화 201
18화 229
19화 259"
64,만화,내 마음의 위험한 녀석 12 (한정판),379009785,9791138488464,4830,"사쿠라이 노리오 지음, 조원로 옮김",㈜소미미디어,20251203,25000,22500,"1,250점",12940,만화,"책소개
극장판 애니메이션 제작 중!!
인싸 미소녀 × 아싸 소년의 극한 달콤 청춘 러브코미디!!
오리지널 아크릴 디오라마&리플릿 포함 한정판 발매!

고등학교에 합격할 때까지 밖에서 만나지 않기로 한다――.
입시 준비와 일 때문에 만나지 못하는 날이 많아진 두 사람.
보고 싶은 마음을 꾹 참으면서 공부에 매진하는 쿄타로.
하지만 어느 날 밤…
야마다네 집에서 단둘이?!
그렇고 그런 분위기에 휩싸이는데?!
한편, 누나의 취준이 시작되고 누나가 있는 밴드가 해체될 위기에 처한다?!
입시와 사랑과 가족.
쿄타로를 둘러싼 환경이 바뀌어 간다….
그리고 만나지 못하는 크리스마스에 쿄타로와 야마다는?!

※ 한정판 구성
『내 마음의 위험한 녀석 12』 단행본 + 초판 한정 일러스트 카드 2종 + 양면 커버 + 리플릿(8p) + 아크릴 디오라마","목차
karte. 155 난 이해심이 많은 척을 한다
karte. 156 난 본심을 말한다
karte. 157 난 뭘 하고 있는 걸까
karte. 158 난 아침 일찍 귀가했다
karte. 159 난 쓸쓸하다
karte. 160 난 등을 떠밀어 주길 바란다
karte. 161 우린 잠들 수 없다
karte. 162 난 얘기해 버린다
karte. 163 난 길을 찾고 싶다
karte. 164 난 움직이기 시작한다
karte. 165 난 원만하게 해결하고 싶다
karte. 166 난 아무것도 필요 없다
karte. 167 우린 아무 말도 못 한 채
karte. 168 난 어디에 있든 널 찾아낸다
펼쳐보기"
65,만화,나의 히어로 아카데미아 42 (트리플 특장판),357993537,9791136798763,47830,"호리코시 코헤이 지음, 오경화 옮김",서울미디어코믹스(서울문화사),20250228,6000,5400,300점,31312,만화,"책소개
그날, 동경하던 사람에게 인정받아 기뻤다. 세상에 둘도 없는 동료들과도 만나고, 믿을 수 없지만 ‘무개성’이었던 내가 수많은 이들의 지지를 받으며 지금 이 자리에 있다. 그래서 나도 너에게 손을 내밀고 싶어. 가공을 현실로. 그리고 지금을 미래로 연결하는 이야기. 여기가 나의… 우리의 히어로 아카데미아!!",
